teamname,abbrev,aliases,conference,division
Atlanta Hawks,ATL,"Atlanta, Hawks",East,Southeast
Boston Celtics,BOS,"Boston, Celtics",East,Atlantic
Brooklyn Nets,BRK,"Brooklyn, Nets",East,Atlantic
Charlotte Hornets,CHA,"Charlotte, Hornets",East,Southeast
Chicago Bulls,CHI,"Chicago, Bulls",East,Central
Cleveland Cavaliers,CLE,"Cleveland, Cavaliers",East,Central
Dallas Mavericks,DAL,"Dallas, Mavericks",West,Southwest
Denver Nuggets,DEN,"Denver, Nuggets",West,Northwest
Detroit Pistons,DET,"Detroit, Pistons",East,Central
Golden State Warriors,GSW,"Golden State, Warriors",West,Pacific
Houston Rockets,HOU,"Houston, Rockets",West,Southwest
Indiana Pacers,IND,"Indiana, Pacers",East,Central
Los Angeles Clippers,LAC,"Clippers, LA Clippers, Los Angeles Clippers",West,Pacific
Los Angeles Lakers,LAL,"Lakers, LA Lakers",West,Pacific
Memphis Grizzlies,MEM,"Memphis, Grizzlies",West,Southwest
Miami Heat,MIA,"Miami, Heat",East,Southeast
Milwaukee Bucks,MIL,"Milwaukee, Bucks",East,Central
Minnesota Timberwolves,MIN,"Minnesota, Timberwolves",West,Northwest
New Orleans Pelicans,NOP,"New, Orleans Pelicans",West,Southwest
New York Knicks,NYK,"New York, Knicks",East,Atlantic
Oklahoma City Thunder,OKC,"Oklahoma, City Thunder",West,Northwest
Orlando Magic,ORL,"Orlando, Magic",East,Southeast
Philadelphia 76ers,PHI,"Philadelphia, 76ers, Sixers, Philly",East,Atlantic
Phoenix Suns,PHO,"Phoenix, Suns",West,Pacific
Portland Trail Blazers,POR,"Portland, Trail Blazers, Trailblazers, Blazers",West,Northwest
Sacramento Kings,SAC,"Sacramento, Kings",West,Pacific
San Antonio Spurs,SAS,"San Antonio, Spurs",West,Southwest
Toronto Raptors,TOR,"Toronto, Raptors",East,Atlantic
Utah Jazz,UTA,"Utah, Jazz",West,Northwest
Washington Wizards,WAS,"Washington, Wizards",East,Southeast
