entryname,source,author,date,url,teamname,ranking,comments
BR_241004_WAS,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Washington Wizards,30,"Since the start of the 2018-19 campaign, the Washington Wizards have the second-worst winning percentage in the NBA. And by the end of this season, they might have a worse roster than they've had at any point during this stretch."
BR_241004_UTA,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Utah Jazz,29,"Because of how late into the summer he signed his extension, Lauri Markkanen isn't eligible to be traded this season."
BR_241004_DET,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Detroit Pistons,28,"The Detroit Pistons have been far and away the worst team in the NBA over the last 15 seasons, and they somehow found a new low in 2023-24."
BR_241004_POR,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Portland Trail Blazers,27,The Portland Trail Blazers are another rebuilding team with a handful of movable veterans.
BR_241004_BRK,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Brooklyn Nets,26,"The Brooklyn Nets' position is awfully similar to Washington's. There are useful NBA veterans on this roster, but Dennis Schröder, Cameron Johnson, Dorian Finney-Smith are all probably best suited as a fourth or fifth starter on a good team."
BR_241004_CHA,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Charlotte Hornets,25,"This take isn't exactly out on a limb, but this Charlotte Hornets season hinges on the availability of LaMelo Ball."
BR_241004_CHI,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Chicago Bulls,24,"The trend continues with another team that should be looking to move some mainstays. For the Chicago Bulls, it's Zach LaVine and Nikola Vučević who should be being shopped around the league."
BR_241004_TOR,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Toronto Raptors,23,"On media day, Toronto Raptors president Masai Ujiri said he'd describe the expectations for this season with the word ""rebuilding."""
BR_241004_ATL,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Atlanta Hawks,22,"It was clear pretty quickly that the Trae Young-Dejounte Murray partnership formed by the Atlanta Hawks in 2022 wasn't going to work. There wasn't enough playmaking responsibility to go around, and the latter didn't cover for the former's defensive shortcomings the way some expected him to."
BR_241004_LAC,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Los Angeles Clippers,21,The Los Angeles Clippers found themselves in a tight spot (at least for the next couple seasons) when Paul George bolted for the Philadelphia 76ers.
BR_241004_SAS,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,San Antonio Spurs,20,"I've spent much of this summer pounding this number into your heads. But since I may not have many more chances to do it, here it is one more time."
BR_241004_HOU,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Houston Rockets,19,"After going 41-41 in 2023-24, the Houston Rockets can realistically expect to make a push for the postseason this season."
BR_241004_MIA,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Miami Heat,18,"Jimmy Butler's potential free agency could be looming over the Miami Heat all season. This situation has shown up for plenty of teams in the past, and it often leads to tension."
BR_241004_NOP,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,New Orleans Pelicans,17,There are a couple different ways you could look at the situation facing the New Orleans Pelicans.
BR_241004_SAC,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Sacramento Kings,16,"This version of the De'Aaron Fox-and-Domantas Sabonis-led Sacramento Kings really hasn't been around for long, but it was already starting to feel like the ceiling might not be much higher than the first-round exit they had in 2023."
BR_241004_IND,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Indiana Pacers,15,"It feels like the Indiana Pacers, who made it all the way to the Eastern Conference Finals in 2024, have sort of been written off by most fans and media as a real contender in 2024-25."
BR_241004_GSW,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Golden State Warriors,14,"Even with the loss of Klay Thompson, the Golden State Warriors had a good enough offseason to be considered a better team in 2024-25."
BR_241004_LAL,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Los Angeles Lakers,13,"On a recent episode of The Lowe Post, Los Angeles Lakers head coach JJ Redick revealed his starting lineup would be D'Angelo Russell, Austin Reaves, LeBron James, Rui Hachimura and Anthony Davis."
BR_241004_ORL,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Orlando Magic,12,"Even without the addition of Kentavious Caldwell-Pope, the Orlando Magic would have been one of the most exciting young teams in the NBA for this coming season."
BR_241004_MEM,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Memphis Grizzlies,11,"After a gap year in which Ja Morant was limited to nine games by a suspension and shoulder injury, the Memphis Grizzlies should be right back in the mix for a top-four seed in the West."
BR_241004_CLE,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Cleveland Cavaliers,10,"After hiring Kenny Atkinson to replace J.B. Bickerstaff on the bench, the Cleveland Cavaliers are betting on a coaching change and roster continuity to take them to the next level in 2024-25."
BR_241004_MIN,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Minnesota Timberwolves,9,"The Minnesota Timberwolves eliminated the then-reigning champion Denver Nuggets and made it to the Western Conference Finals last season, in large part because of their massive front line that could at least bother Nikola Jokić."
BR_241004_MIL,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Milwaukee Bucks,8,"There was a lot of talk about the Milwaukee Bucks being overlooked at media day, and it's not hard to see why fans and reporters may have mostly moved on from thinking about this team as a bona fide contender."
BR_241004_PHO,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Phoenix Suns,7,"After failing to meet regular-season expectations and getting swept in the first round of the playoffs, plenty seem to be out on the Phoenix Suns as 2025 title contenders."
BR_241004_NYK,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,New York Knicks,6,"Depth is now a real concern for the New York Knicks, but after trading for Towns, they have one of the league's best starting fives."
BR_241004_DAL,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Dallas Mavericks,5,"After a surprising run all the way to the NBA Finals, the Dallas Mavericks didn't make many dramatic changes this offseason."
BR_241004_PHI,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Philadelphia 76ers,4,"After clearing their roster almost down to the studs this offseason, the Philadelphia 76ers re-signed Tyrese Maxey, landed Paul George and then filled out a strong supporting cast with minimal flexibility for doing so."
BR_241004_DEN,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Denver Nuggets,3,"Much was made of the Denver Nuggets losing KCP, and it's fair to worry about talent walking out the door."
BR_241004_OKC,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Oklahoma City Thunder,2,"Despite entering the season as the second-youngest team in the league, the Oklahoma City Thunder secured the top seed in the West in 2023-24."
BR_241004_BOS,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Boston Celtics,1,"With Kristaps Porziņģis out for the first couple months of the season, the Boston Celtics could get off to a little slower start than they did in 2023-24, but they're still the obvious pick for the top spot here."
ESPN_241021_BOS,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Boston Celtics,1,"[BPI's overall ranking: 2
Chances to make playoffs: >99.9%
Projected wins: 56.0, When we last saw them: After years of coming close, the Celtics finally claimed banner No. 18 with a dominant run through the playoffs, capped by a five-game defeat of the Dallas Mavericks. The 2023 offseason acquisitions of Jrue Holiday and Kristaps Porzingis transformed Boston into a juggernaut that won a league-leading 64 games with a 16-3 mark in the playoffs. Boston's summer was spent keeping the team intact. Extensions were given to Jayson Tatum, Derrick White and Sam Hauser, after Holiday got his own in April. The biggest news of Boston's offseason was the Grousbeck family putting its controlling stake in the team up for sale. The decision has left the short-term future of the team -- set to cost more than $500 million in combined payroll and luxury taxes for the 2025-26 season -- up in the air., Biggest strength and weakness: Boston has plenty of strengths, but its 3-point shooting is near the top of the list. The Celtics averaged more than 50 attempts per game in their opening preseason games in Abu Dhabi, and it won't be a shock to see them set the NBA record for makes and attempts this season. There aren't many obvious weaknesses, but center health stands out. Al Horford is in his age-38 season and Porzingis is already out until at least December because of offseason surgery. The Celtics probably will need both players to repeat as champs. -- Tim Bontemps , Celtics in NBA Rank:
Jayson Tatum (5)
Jaylen Brown (14)
Jrue Holiday (36)
Derrick White (39)
Kristaps Porzingis (46)
Al Horford (96), Number to watch: Scoring and clutch net efficiency
The Celtics outscored opponents by 10.7 points per game last season -- the fifth-best differential in NBA history. They also went 6-0 in clutch-time games with a plus-46.9 net efficiency -- the first team to do so in a single postseason since play-by-play was first tracked in 1997.]"
