entryname,source,author,date,url,teamname,ranking
BR_241004_WAS,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Washington Wizards,30
BR_241004_UTA,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Utah Jazz,29
BR_241004_DET,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Detroit Pistons,28
BR_241004_POR,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Portland Trail Blazers,27
BR_241004_BRK,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Brooklyn Nets,26
BR_241004_CHA,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Charlotte Hornets,25
BR_241004_CHI,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Chicago Bulls,24
BR_241004_TOR,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Toronto Raptors,23
BR_241004_ATL,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Atlanta Hawks,22
BR_241004_LAC,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Los Angeles Clippers,21
BR_241004_SAS,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,San Antonio Spurs,20
BR_241004_HOU,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Houston Rockets,19
BR_241004_MIA,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Miami Heat,18
BR_241004_NOP,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,New Orleans Pelicans,17
BR_241004_SAC,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Sacramento Kings,16
BR_241004_IND,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Indiana Pacers,15
BR_241004_GSW,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Golden State Warriors,14
BR_241004_LAL,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Los Angeles Lakers,13
BR_241004_ORL,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Orlando Magic,12
BR_241004_MEM,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Memphis Grizzlies,11
BR_241004_CLE,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Cleveland Cavaliers,10
BR_241004_MIN,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Minnesota Timberwolves,9
BR_241004_MIL,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Milwaukee Bucks,8
BR_241004_PHO,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Phoenix Suns,7
BR_241004_NYK,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,New York Knicks,6
BR_241004_DAL,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Dallas Mavericks,5
BR_241004_PHI,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Philadelphia 76ers,4
BR_241004_DEN,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Denver Nuggets,3
BR_241004_OKC,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Oklahoma City Thunder,2
BR_241004_BOS,BR,Andy Bailey,241004,https://bleacherreport.com/articles/10137524-nba-power-rankings-where-all-30-teams-stand-entering-2024-preseason,Boston Celtics,1
ESPN_241021_BOS,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Boston Celtics,1
ESPN_241021_OKC,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Oklahoma City Thunder,2
ESPN_241021_NYK,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,New York Knicks,3
ESPN_241021_DEN,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Denver Nuggets,4
ESPN_241021_PHI,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Philadelphia 76ers,5
ESPN_241021_DAL,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Dallas Mavericks,6
ESPN_241021_MIN,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Minnesota Timberwolves,7
ESPN_241021_PHO,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Phoenix Suns,8
ESPN_241021_MIL,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Milwaukee Bucks,9
ESPN_241021_CLE,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Cleveland Cavaliers,10
ESPN_241021_MEM,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Memphis Grizzlies,11
ESPN_241021_IND,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Indiana Pacers,12
ESPN_241021_ORL,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Orlando Magic,13
ESPN_241021_GSW,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Golden State Warriors,14
ESPN_241021_LAL,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Los Angeles Lakers,15
ESPN_241021_NOP,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,New Orleans Pelicans,16
ESPN_241021_SAC,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Sacramento Kings,17
ESPN_241021_MIA,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Miami Heat,18
ESPN_241021_HOU,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Houston Rockets,19
ESPN_241021_LAC,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Los Angeles Clippers,20
ESPN_241021_SAS,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,San Antonio Spurs,21
ESPN_241021_ATL,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Atlanta Hawks,22
ESPN_241021_CHI,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Chicago Bulls,23
ESPN_241021_TOR,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Toronto Raptors,24
ESPN_241021_CHA,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Charlotte Hornets,25
ESPN_241021_UTA,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Utah Jazz,26
ESPN_241021_DET,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Detroit Pistons,27
